language,pushes
JavaScript,2921387
Java,1967620
CSS,1510862
Python,1369270
PHP,1175123
Ruby,922369
C++,860915
C,682222
Shell,495771
C#,474928
Objective-C,210112
Go,167389
R,140371
TeX,133204
VimL,110638
Perl,103742
Scala,97214
CoffeeScript,94044
Lua,68048
Haskell,64603
Emacs Lisp,61848
Swift,54869
Matlab,46825
Rust,44777
Clojure,42442
Makefile,30891
Groovy,30858
TypeScript,29453
Puppet,28194
Erlang,22513
Tcl,22078
Arduino,21656
PowerShell,19000
Assembly,18844
OCaml,18708
XSLT,17794
ASP,15869
Mathematica,15667
Visual Basic,15497
Processing,14106
ActionScript,13872
D,13044
Julia,13040
Dart,12019
Scheme,11918
Pascal,11731
SQF,11361
F#,10589
Common Lisp,10464
FORTRAN,10178
